Success,Time,Epoch,Dataset
True,72,50,Half
True,58,50,Half
True,44,50,Half
True,44,50,Half
True,65,50,Half
True,73,50,Half
True,19,50,Half
True,17,50,Half
True,51,50,Half
True,56,50,Half
True,98,50,Half
True,32,50,Half
True,53,50,Half
True,44,50,Half
True,59,50,Half
True,78,50,Half
True,55,50,Half
True,26,50,Half
True,36,50,Half
True,14,50,Half
True,71,50,Half
True,60,50,Half
True,37,50,Half
True,61,50,Half
True,57,50,Half
True,37,50,Half
True,38,50,Half
True,51,50,Half
True,65,50,Half
True,54,50,Half
True,33,50,Half
True,29,50,Half
True,37,50,Half
True,30,50,Half
True,44,50,Half
True,39,50,Half
True,43,50,Half
True,27,50,Half
True,76,50,Half
True,47,50,Half
True,39,50,Half
True,43,50,Half
True,57,50,Half
True,86,50,Half
True,44,50,Half
True,71,50,Half
True,117,50,Half
True,38,50,Half
True,48,50,Half
True,25,50,Half
True,52,50,Half
True,25,50,Half
True,30,50,Half
True,47,50,Half
True,87,50,Half
True,31,50,Half
True,85,50,Half
True,38,50,Half
True,66,50,Half
True,64,50,Half
True,39,50,Half
True,58,50,Half
True,41,50,Half
True,51,50,Half
True,47,50,Half
True,63,50,Half
True,85,50,Half
True,34,50,Half
True,52,50,Half
True,58,50,Half
True,20,50,Half
True,73,50,Half
True,17,50,Half
True,74,50,Half
True,25,50,Half
True,30,50,Half
True,67,50,Half
True,57,50,Half
True,70,50,Half
True,40,50,Half
True,45,50,Half
True,41,50,Half
True,52,50,Quarter
True,72,50,Quarter
True,95,50,Quarter
True,62,50,Quarter
True,54,50,Quarter
True,48,50,Quarter
True,55,50,Quarter
True,57,50,Quarter
True,19,50,Quarter
True,32,50,Quarter
True,18,50,Quarter
True,67,50,Quarter
True,56,50,Quarter
True,53,50,Quarter
True,24,50,Quarter
True,55,50,Quarter
True,47,50,Quarter
True,79,50,Quarter
True,50,50,Quarter
True,73,50,Quarter
True,74,50,Quarter
True,50,50,Quarter
True,35,50,Quarter
True,29,50,Quarter
True,69,50,Quarter
True,51,50,Quarter
True,62,50,Quarter
True,70,50,Quarter
True,47,50,Quarter
True,38,50,Quarter
True,26,50,Quarter
True,26,50,Quarter
True,27,50,Quarter
True,49,50,Quarter
True,16,50,Quarter
True,51,50,Quarter
True,42,50,Quarter
True,61,50,Quarter
True,40,50,Quarter
True,45,50,Quarter
True,73,50,Quarter
True,24,50,Quarter
True,53,50,Quarter
True,56,50,Quarter
True,65,50,Quarter
True,19,50,Quarter
True,74,50,Quarter
True,38,50,Quarter
True,67,50,Quarter
True,47,50,Quarter
True,53,50,Quarter
True,55,50,Quarter
True,28,50,Quarter
True,79,50,Quarter
True,65,50,Quarter
True,69,50,Quarter
True,55,50,Quarter
True,52,50,Quarter
True,47,50,Quarter
True,44,50,Quarter
True,52,50,Quarter
True,43,50,Quarter
True,20,50,Quarter
True,51,50,Quarter
True,59,50,Quarter
True,48,50,Quarter
True,28,50,Quarter
True,55,50,Quarter
True,56,50,Quarter
True,53,50,Quarter
True,43,50,Quarter
True,41,50,Quarter
True,46,50,Quarter
True,53,50,Quarter
True,80,50,Quarter
True,71,50,Quarter
True,50,50,Quarter
True,58,50,Quarter
True,84,50,Quarter
True,41,50,Quarter
True,60,50,Quarter
True,63,50,Quarter
True,79,50,Quarter
True,65,50,Quarter
True,57,50,Quarter
True,77,50,Quarter
True,53,50,Quarter
True,73,50,Quarter
True,19,50,Quarter
True,41,50,Quarter
True,49,50,Quarter
True,56,50,Quarter
True,67,50,Quarter
True,29,50,Quarter
True,62,50,Quarter
True,65,50,Quarter
True,65,50,Quarter
True,16,50,Quarter
True,48,50,Quarter
True,34,50,Quarter
False,500,50,Tenth
True,15,50,Tenth
True,28,50,Tenth
True,99,50,Tenth
True,32,50,Tenth
True,27,50,Tenth
True,54,50,Tenth
True,31,50,Tenth
True,105,50,Tenth
True,43,50,Tenth
True,75,50,Tenth
True,82,50,Tenth
True,78,50,Tenth
True,78,50,Tenth
True,62,50,Tenth
True,56,50,Tenth
True,29,50,Tenth
True,27,50,Tenth
False,500,50,Tenth
True,86,50,Tenth
True,58,50,Tenth
True,41,50,Tenth
True,91,50,Tenth
True,25,50,Tenth
True,84,50,Tenth
True,84,50,Tenth
True,29,50,Tenth
True,49,50,Tenth
True,62,50,Tenth
True,17,50,Tenth
True,74,50,Tenth
True,81,50,Tenth
True,25,50,Tenth
True,39,50,Tenth
True,54,50,Tenth
True,32,50,Tenth
True,45,50,Tenth
True,47,50,Tenth
True,68,50,Tenth
True,82,50,Tenth
True,71,50,Tenth
False,500,50,Tenth
True,19,50,Tenth
True,25,50,Tenth
True,45,50,Tenth
True,30,50,Tenth
True,78,50,Tenth
True,41,50,Tenth
True,29,50,Tenth
True,17,50,Tenth
True,38,50,Tenth
True,64,50,Tenth
True,80,50,Tenth
True,83,50,Tenth
True,73,50,Tenth
True,76,50,Tenth
True,65,50,Tenth
True,60,50,Tenth
True,80,50,Tenth
True,48,50,Tenth
True,41,50,Tenth
True,43,50,Tenth
True,34,50,Tenth
True,73,50,Tenth
True,60,50,Tenth
True,34,50,Tenth
False,500,50,Tenth
True,67,50,Tenth
True,32,50,Tenth
True,52,50,Tenth
True,81,50,Tenth
True,35,50,Tenth
True,87,50,Tenth
True,78,50,Tenth
True,73,50,Tenth
True,28,50,Tenth
True,29,50,Tenth
True,50,50,Tenth
True,51,50,Tenth
True,74,50,Tenth
False,500,50,Tenth
True,66,50,Tenth
True,65,50,Tenth
True,55,50,Tenth
True,52,50,Tenth
True,63,50,Tenth
True,51,50,Tenth
True,64,50,Tenth
True,23,50,Tenth
True,53,50,Tenth
True,59,50,Tenth
True,47,50,Tenth
True,50,50,Tenth
True,58,50,Tenth
True,42,50,Tenth
True,35,50,Tenth
True,95,50,Tenth
True,65,50,Tenth
True,58,50,Tenth
True,68,50,Tenth
True,32,50,Twentieth
True,70,50,Twentieth
True,37,50,Twentieth
True,46,50,Twentieth
True,56,50,Twentieth
True,35,50,Twentieth
True,60,50,Twentieth
True,50,50,Twentieth
True,26,50,Twentieth
True,79,50,Twentieth
True,82,50,Twentieth
True,70,50,Twentieth
False,500,50,Twentieth
True,100,50,Twentieth
True,16,50,Twentieth
True,38,50,Twentieth
True,19,50,Twentieth
True,51,50,Twentieth
False,500,50,Twentieth
True,71,50,Twentieth
True,25,50,Twentieth
True,61,50,Twentieth
True,60,50,Twentieth
True,38,50,Twentieth
True,43,50,Twentieth
True,71,50,Twentieth
True,58,50,Twentieth
True,51,50,Twentieth
True,71,50,Twentieth
True,63,50,Twentieth
True,52,50,Twentieth
True,88,50,Twentieth
True,58,50,Twentieth
True,43,50,Twentieth
True,71,50,Twentieth
True,48,50,Twentieth
True,33,50,Twentieth
True,35,50,Twentieth
False,500,50,Twentieth
True,44,50,Twentieth
True,102,50,Twentieth
True,44,50,Twentieth
True,65,50,Twentieth
True,54,50,Twentieth
True,15,50,Twentieth
True,86,50,Twentieth
True,114,50,Twentieth
True,75,50,Twentieth
True,30,50,Twentieth
True,81,50,Twentieth
True,21,50,Twentieth
True,64,50,Twentieth
True,90,50,Twentieth
True,45,50,Twentieth
True,42,50,Twentieth
True,45,50,Twentieth
True,80,50,Twentieth
True,49,50,Twentieth
True,67,50,Twentieth
True,52,50,Twentieth
True,35,50,Twentieth
True,37,50,Twentieth
True,68,50,Twentieth
True,52,50,Twentieth
True,66,50,Twentieth
True,45,50,Twentieth
True,67,50,Twentieth
False,500,50,Twentieth
True,54,50,Twentieth
True,52,50,Twentieth
True,56,50,Twentieth
True,36,50,Twentieth
True,81,50,Twentieth
True,80,50,Twentieth
True,71,50,Twentieth
True,74,50,Twentieth
True,79,50,Twentieth
True,27,50,Twentieth
True,43,50,Twentieth
True,37,50,Twentieth
True,35,50,Twentieth
True,82,50,Twentieth
True,54,50,Twentieth
True,60,50,Twentieth
True,19,50,Twentieth
True,82,50,Twentieth
True,75,50,Twentieth
True,27,50,Twentieth
True,78,50,Twentieth
True,56,50,Twentieth
True,57,50,Twentieth
True,25,50,Twentieth
True,33,50,Twentieth
True,60,50,Twentieth
True,37,50,Twentieth
False,500,50,Twentieth
True,56,50,Twentieth
True,88,50,Twentieth
False,500,50,Twentieth
True,83,50,Twentieth
True,111,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,60,50,Hundredth
True,51,50,Hundredth
False,500,50,Hundredth
True,61,50,Hundredth
True,81,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,87,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,78,50,Hundredth
True,71,50,Hundredth
True,41,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,48,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,109,50,Hundredth
False,500,50,Hundredth
True,83,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,59,50,Hundredth
False,500,50,Hundredth
True,116,50,Hundredth
True,99,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,92,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,75,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,116,50,Hundredth
False,500,50,Hundredth
True,52,50,Hundredth
True,61,50,Hundredth
True,77,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,87,50,Hundredth
False,500,50,Hundredth
True,30,50,Hundredth
False,500,50,Hundredth
True,92,50,Hundredth
False,500,50,Hundredth
True,53,50,Hundredth
True,88,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,28,50,Hundredth
True,211,50,Hundredth
False,500,50,Hundredth
True,92,50,Hundredth
True,46,50,Hundredth
False,500,50,Hundredth
True,35,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,65,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,53,50,Hundredth
False,500,50,Hundredth
True,70,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,74,50,Hundredth
True,29,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
True,67,50,Hundredth
False,500,50,Hundredth
False,500,50,Hundredth
